web-scraper-order,web-scraper-start-url,voiturelink,voiturelink-href,marque,annee,prix,adresse,propriétaire,pages,pages-href
"1716698401-1","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Fusion 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-134587","Ford Fusion 2013 Dakar","  2013","30 000 F CFA","Sicap Liberté 

Dakar","KINGCARS Service","dernière page","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8"
"1716698404-2","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Explorer 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/explorer/annonce-134586","Ford Explorer 2012 Dakar","  2012","40 000 F CFA","Sicap Liberté 

Dakar","KINGCARS Service","dernière page","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8"
"1716698407-3","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Elantra 2017","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-134581","Hyundai Elantra 2017 Dakar","  2017","35 000 F CFA","Yoff 

Dakar","Abdia Sn","dernière page","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8"
"1716698410-4","https://dakar-auto.com/senegal/location-de-voitures-19","Dodge Journey 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/dodge/journey/annonce-134585","Dodge Journey 2012 Dakar","  2012","30 000 F CFA","Yoff 

Dakar","A vos services","dernière page","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8"
"1716698413-5","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Elantra 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-134584","Hyundai Elantra 2016 Dakar","  2016","20 000 F CFA","Yoff 

Dakar","A vos services","dernière page","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8"
"1716698415-6","https://dakar-auto.com/senegal/location-de-voitures-19","Mazda cx5 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mazda/cx5/annonce-134579","Mazda cx5 2013 Dakar","  2013","30 000 F CFA","Yoff 

Dakar","A vos services","dernière page","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8"
"1716698418-7","https://dakar-auto.com/senegal/location-de-voitures-19","Chevrolet Equinox 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chevrolet/equinox/annonce-134578","Chevrolet Equinox 2012 Dakar","  2012","30 000 F CFA","Yoff 

Dakar","A vos services","dernière page","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8"
"1716698421-8","https://dakar-auto.com/senegal/location-de-voitures-19","Dodge Dart 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/dodge/dart/annonce-134577","Dodge Dart 2013 Dakar","  2013","20 000 F CFA","Yoff 

Dakar","A vos services","dernière page","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8"
"1716698424-9","https://dakar-auto.com/senegal/location-de-voitures-19","Citroen C3 2019","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/citroen/c3/annonce-134576","Citroen C3 2019 Dakar","  2019","25 000 F CFA","Yoff 

Dakar","A vos services","dernière page","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8"
"1716698427-10","https://dakar-auto.com/senegal/location-de-voitures-19","Mazda Cx-5 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mazda/cx-5/annonce-134575","Mazda Cx-5 2013 Dakar","  2013","30 000 F CFA","Yoff 

Dakar","A vos services","dernière page","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8"
